data_dia,num_internacoes
2013-04-20,612
2013-04-21,588
2013-04-22,708
2013-04-23,564
2013-04-24,900
2013-04-25,660
2013-04-26,768
2013-04-27,708
2013-04-28,600
2013-04-29,912
2013-04-30,780
2013-05-01,456
2013-05-02,768
2013-05-03,744
2013-05-04,660
2013-05-05,636
2013-05-06,804
2013-05-07,660
2013-05-08,660
2013-05-09,648
2013-05-10,708
2013-05-11,564
2013-05-12,444
2013-05-13,1056
2013-05-14,708
2013-05-15,624
2013-05-16,780
2013-05-17,660
2013-05-18,552
2013-05-19,444
2013-05-20,852
2013-05-21,684
2013-05-22,744
2013-05-23,648
2013-05-24,624
2013-05-25,348
2013-05-26,408
2013-05-27,768
2013-05-28,624
2013-05-29,732
2013-05-30,408
2013-05-31,552
2013-06-01,564
2013-06-02,552
2013-06-03,900
2013-06-04,684
2013-06-05,648
2013-06-06,660
2013-06-07,672
2013-06-08,432
2013-06-09,528
2013-06-10,588
2013-06-11,888
2013-06-12,600
2013-06-13,828
2013-06-14,684
2013-06-15,552
2013-06-16,420
2013-06-17,948
2013-06-18,624
2013-06-19,780
2013-06-20,780
2013-06-21,588
2013-06-22,552
2013-06-23,408
2013-06-24,768
2013-06-25,744
2013-06-26,960
2013-06-27,708
2013-06-28,540
2013-06-29,444
2013-06-30,528
2013-07-01,684
2013-07-02,540
2013-07-03,876
2013-07-04,756
2013-07-05,576
2013-07-06,432
2013-07-07,492
2013-07-08,540
2013-07-09,708
2013-07-10,756
2013-07-11,624
2013-07-12,636
2013-07-13,540
2013-07-14,456
2013-07-15,660
2013-07-16,660
2013-07-17,720
2013-07-18,768
2013-07-19,744
2013-07-20,504
2013-07-21,384
2013-07-22,756
2013-07-23,672
2013-07-24,432
2013-07-25,336
2013-07-26,528
2013-07-27,468
2013-07-28,276
2013-07-29,636
2013-07-30,636
2013-07-31,456
2013-08-01,588
2013-08-02,636
2013-08-03,432
2013-08-04,336
2013-08-05,636
2013-08-06,504
2013-08-07,612
2013-08-08,504
2013-08-09,504
2013-08-10,408
2013-08-11,264
2013-08-12,540
2013-08-13,588
2013-08-14,516
2013-08-15,456
2013-08-16,468
2013-08-17,528
2013-08-18,348
2013-08-19,551
2013-08-20,492
2013-08-21,588
2013-08-22,420
2013-08-23,576
2013-08-24,395
2013-08-25,492
2013-08-26,516
2013-08-27,420
2013-08-28,600
2013-08-29,456
2013-08-30,444
2013-08-31,396
2013-09-01,382
2013-09-02,515
2013-09-03,420
2013-09-04,528
2013-09-05,347
2013-09-06,478
2013-09-07,288
2013-09-08,336
2013-09-09,575
2013-09-10,503
2013-09-11,599
2013-09-12,443
2013-09-13,431
2013-09-14,480
2013-09-15,192
2013-09-16,599
2013-09-17,514
2013-09-18,611
2013-09-19,357
2013-09-20,432
2013-09-21,359
2013-09-22,190
2013-09-23,510
2013-09-24,380
2013-09-25,419
2013-09-26,275
2013-09-27,420
2013-09-28,274
2013-09-29,309
2013-09-30,464
2013-10-01,660
2013-10-02,392
2013-10-03,355
2013-10-04,567
2013-10-05,251
2013-10-06,311
2013-10-07,368
2013-10-08,332
2013-10-09,418
2013-10-10,357
2013-10-11,546
2013-10-12,179
2013-10-13,250
2013-10-14,550
2013-10-15,285
2013-10-16,534
2013-10-17,380
2013-10-18,477
2013-10-19,405
2013-10-20,379
2013-10-21,536
2013-10-22,415
2013-10-23,520
2013-10-24,511
2013-10-25,520
2013-10-26,366
2013-10-27,238
2013-10-28,498
2013-10-29,444
2013-10-30,508
2013-10-31,341
2013-11-01,374
2013-11-02,301
2013-11-03,292
2013-11-04,425
2013-11-05,515
2013-11-06,542
2013-11-07,282
2013-11-08,398
2013-11-09,318
2013-11-10,330
2013-11-11,398
2013-11-12,524
2013-11-13,446
2013-11-14,387
2013-11-15,213
2013-11-16,316
2013-11-17,220
2013-11-18,550
2013-11-19,573
2013-11-20,348
2013-11-21,472
2013-11-22,329
2013-11-23,188
2013-11-24,339
2013-11-25,475
2013-11-26,431
2013-11-27,349
2013-11-28,452
2013-11-29,350
2013-11-30,240
2013-12-01,363
2013-12-02,511
2013-12-03,374
2013-12-04,427
2013-12-05,380
