objectid,data,estação,estacao_nome,poluente,classificação,iqar,codnum
59372,2017/01/16 03:00:00+00,PG,Pedra de Guaratiba,O3,Regular,52,6
59373,2017/01/16 03:00:00+00,,Unidade Móvel Bangu-Guarda Municipal,MP10,Regular,55,
59374,2017/01/17 03:00:00+00,CA,Centro,O3,Boa,32,3
59375,2017/01/17 03:00:00+00,AV,Copacabana,MP10,Regular,51,1
59376,2017/01/17 03:00:00+00,SC,São Cristóvão,O3,Regular,53,7
59377,2017/01/17 03:00:00+00,SP,Tijuca,O3,Boa,42,8
59378,2017/01/17 03:00:00+00,IR,Irajá,NO2,Boa,29,5
59379,2017/01/17 03:00:00+00,BG,Bangu,O3,Regular,52,2
59380,2017/01/17 03:00:00+00,CG,Campo Grande,O3,Boa,36,4
59381,2017/01/17 03:00:00+00,PG,Pedra de Guaratiba,O3,Regular,54,6
59382,2017/01/17 03:00:00+00,,Unidade Móvel Bangu-Guarda Municipal,MP10,Boa,49,
59383,2017/01/18 03:00:00+00,CA,Centro,O3,Boa,35,3
59384,2017/01/18 03:00:00+00,AV,Copacabana,MP10,Boa,47,1
59385,2017/01/18 03:00:00+00,SC,São Cristóvão,,Indisponível,,7
59386,2017/01/18 03:00:00+00,SP,Tijuca,O3,Regular,61,8
59387,2017/01/18 03:00:00+00,IR,Irajá,MP10,Boa,24,5
59388,2017/01/18 03:00:00+00,BG,Bangu,O3,Regular,56,2
59389,2017/01/18 03:00:00+00,CG,Campo Grande,MP10,Boa,32,4
59390,2017/01/18 03:00:00+00,PG,Pedra de Guaratiba,O3,Regular,52,6
59391,2017/01/18 03:00:00+00,,Unidade Móvel Bangu-Guarda Municipal,MP10,Regular,51,
59392,2017/01/19 03:00:00+00,CA,Centro,O3,Boa,31,3
59393,2017/01/19 03:00:00+00,AV,Copacabana,MP10,Regular,57,1
59394,2017/01/19 03:00:00+00,SC,São Cristóvão,O3,Regular,51,7
59395,2017/01/19 03:00:00+00,SP,Tijuca,O3,Regular,61,8
59396,2017/01/19 03:00:00+00,IR,Irajá,MP10,Boa,33,5
59397,2017/01/19 03:00:00+00,BG,Bangu,O3,Regular,67,2
59398,2017/01/19 03:00:00+00,CG,Campo Grande,O3,Regular,52,4
59399,2017/01/19 03:00:00+00,PG,Pedra de Guaratiba,O3,Regular,62,6
59400,2017/01/19 03:00:00+00,,Unidade Móvel Bangu-Guarda Municipal,MP10,Regular,53,
59401,2017/01/20 03:00:00+00,CA,Centro,O3,Boa,44,3
59402,2017/01/20 03:00:00+00,AV,Copacabana,MP10,Boa,44,1
59403,2017/01/20 03:00:00+00,SC,São Cristóvão,O3,Regular,58,7
59404,2017/01/20 03:00:00+00,SP,Tijuca,O3,Boa,50,8
59405,2017/01/20 03:00:00+00,IR,Irajá,MP10,Boa,30,5
59406,2017/01/20 03:00:00+00,BG,Bangu,O3,Regular,69,2
59407,2017/01/20 03:00:00+00,CG,Campo Grande,O3,Regular,55,4
59408,2017/01/20 03:00:00+00,PG,Pedra de Guaratiba,O3,Boa,47,6
59409,2017/01/20 03:00:00+00,,Unidade Móvel Bangu-Guarda Municipal,MP10,Regular,53,
59410,2017/01/21 03:00:00+00,CA,Centro,O3,Regular,62,3
59411,2017/01/21 03:00:00+00,AV,Copacabana,MP10,Regular,52,1
59412,2017/01/21 03:00:00+00,SC,São Cristóvão,O3,Regular,77,7
59413,2017/01/21 03:00:00+00,SP,Tijuca,O3,Regular,66,8
59414,2017/01/21 03:00:00+00,IR,Irajá,MP10,Boa,33,5
59415,2017/01/21 03:00:00+00,BG,Bangu,O3,Regular,74,2
59416,2017/01/21 03:00:00+00,CG,Campo Grande,O3,Regular,58,4
59417,2017/01/21 03:00:00+00,PG,Pedra de Guaratiba,O3,Boa,38,6
59418,2017/01/21 03:00:00+00,,Unidade Móvel Bangu-Guarda Municipal,MP10,Regular,53,
59419,2017/01/22 03:00:00+00,CA,Centro,O3,Boa,44,3
59420,2017/01/22 03:00:00+00,AV,Copacabana,MP10,Boa,49,1
59421,2017/01/22 03:00:00+00,SC,São Cristóvão,O3,Regular,57,7
59422,2017/01/22 03:00:00+00,SP,Tijuca,NO2,Boa,37,8
59423,2017/01/22 03:00:00+00,IR,Irajá,MP10,Boa,37,5
59424,2017/01/22 03:00:00+00,BG,Bangu,O3,Regular,80,2
59425,2017/01/22 03:00:00+00,CG,Campo Grande,O3,Boa,49,4
59426,2017/01/22 03:00:00+00,PG,Pedra de Guaratiba,O3,Regular,65,6
59427,2017/01/22 03:00:00+00,,Unidade Móvel Bangu-Guarda Municipal,MP10,Regular,54,
59428,2017/01/23 03:00:00+00,CA,Centro,O3,Boa,42,3
59429,2017/01/23 03:00:00+00,AV,Copacabana,MP10,Regular,52,1
59430,2017/01/23 03:00:00+00,SC,São Cristóvão,O3,Regular,63,7
59431,2017/01/23 03:00:00+00,SP,Tijuca,O3,Regular,54,8
59432,2017/01/23 03:00:00+00,IR,Irajá,MP10,Boa,29,5
59433,2017/01/23 03:00:00+00,BG,Bangu,O3,Inadequada,130,2
59434,2017/01/23 03:00:00+00,CG,Campo Grande,O3,Regular,54,4
59435,2017/01/23 03:00:00+00,PG,Pedra de Guaratiba,O3,Regular,70,6
59436,2017/01/23 03:00:00+00,,Unidade Móvel Bangu-Guarda Municipal,MP10,Regular,53,
59437,2017/01/24 03:00:00+00,CA,Centro,O3,Regular,53,3
59438,2017/01/24 03:00:00+00,AV,Copacabana,MP10,Regular,56,1
59439,2017/01/24 03:00:00+00,SC,São Cristóvão,O3,Regular,74,7
59440,2017/01/24 03:00:00+00,SP,Tijuca,O3,Regular,53,8
59441,2017/01/24 03:00:00+00,IR,Irajá,MP10,Boa,37,5
59442,2017/01/24 03:00:00+00,BG,Bangu,O3,Inadequada,124,2
59443,2017/01/24 03:00:00+00,CG,Campo Grande,O3,Regular,64,4
59444,2017/01/24 03:00:00+00,PG,Pedra de Guaratiba,O3,Regular,65,6
59445,2017/01/24 03:00:00+00,,Unidade Móvel Bangu-Guarda Municipal,MP10,Regular,57,
59446,2017/01/25 03:00:00+00,CA,Centro,O3,Boa,32,3
59447,2017/01/25 03:00:00+00,AV,Copacabana,MP10,Regular,56,1
