data_dia,AQI,Qualidade_do_Ar
2015-08-14,31,N1 - Boa
2015-08-15,34,N1 - Boa
2015-08-16,36,N1 - Boa
2015-08-17,34,N1 - Boa
2015-08-18,29,N1 - Boa
2015-08-19,36,N1 - Boa
2015-08-20,30,N1 - Boa
2015-08-21,20,N1 - Boa
2015-08-22,32,N1 - Boa
2015-08-23,81,N3 - Ruim
2015-08-24,42,N2 - Moderada
2015-08-25,25,N1 - Boa
2015-08-26,32,N1 - Boa
2015-08-27,29,N1 - Boa
2015-08-28,29,N1 - Boa
2015-08-29,36,N1 - Boa
2015-08-30,82,N3 - Ruim
2015-08-31,131,N4 - Muito Ruim
2015-09-01,97,N3 - Ruim
2015-09-02,37,N1 - Boa
2015-09-03,32,N1 - Boa
2015-09-04,53,N2 - Moderada
2015-09-05,18,N1 - Boa
2015-09-06,22,N1 - Boa
2015-09-07,36,N1 - Boa
2015-09-08,38,N1 - Boa
2015-09-09,25,N1 - Boa
2015-09-10,37,N1 - Boa
2015-09-11,30,N1 - Boa
2015-09-12,18,N1 - Boa
2015-09-13,18,N1 - Boa
2015-09-14,16,N1 - Boa
2015-09-15,23,N1 - Boa
2015-09-16,30,N1 - Boa
2015-09-17,57,N2 - Moderada
2015-09-18,75,N2 - Moderada
2015-09-19,169,N4 - Muito Ruim
2015-09-20,94,N3 - Ruim
2015-09-21,35,N1 - Boa
2015-09-22,61,N2 - Moderada
2015-09-23,75,N2 - Moderada
2015-09-24,85,N3 - Ruim
2015-09-25,95,N3 - Ruim
2015-09-26,54,N2 - Moderada
2015-09-27,67,N2 - Moderada
2015-09-28,35,N1 - Boa
2015-09-29,25,N1 - Boa
2015-09-30,57,N2 - Moderada
2015-10-01,38,N1 - Boa
2015-10-02,42,N2 - Moderada
2015-10-03,39,N1 - Boa
2015-10-04,26,N1 - Boa
2015-10-05,15,N1 - Boa
2015-10-06,25,N1 - Boa
2015-10-07,32,N1 - Boa
2015-10-08,38,N1 - Boa
2015-10-09,48,N2 - Moderada
2015-10-10,38,N1 - Boa
2015-10-11,88,N3 - Ruim
2015-10-12,53,N2 - Moderada
2015-10-13,35,N1 - Boa
2015-10-14,48,N2 - Moderada
2015-10-15,82,N3 - Ruim
2015-10-16,83,N3 - Ruim
2015-10-17,36,N1 - Boa
2015-10-18,23,N1 - Boa
2015-10-19,18,N1 - Boa
2015-10-20,32,N1 - Boa
2015-10-21,48,N2 - Moderada
2015-10-22,28,N1 - Boa
2015-10-23,33,N1 - Boa
2015-10-24,26,N1 - Boa
2015-10-25,18,N1 - Boa
2015-10-26,24,N1 - Boa
2015-10-27,38,N1 - Boa
2015-10-28,31,N1 - Boa
2015-10-29,21,N1 - Boa
2015-10-30,21,N1 - Boa
2015-10-31,34,N1 - Boa
2015-11-01,29,N1 - Boa
2015-11-02,25,N1 - Boa
2015-11-03,23,N1 - Boa
2015-11-04,27,N1 - Boa
2015-11-05,19,N1 - Boa
2015-11-06,13,N1 - Boa
2015-11-07,11,N1 - Boa
2015-11-08,23,N1 - Boa
2015-11-09,32,N1 - Boa
2015-11-10,56,N2 - Moderada
2015-11-11,61,N2 - Moderada
2015-11-12,33,N1 - Boa
2015-11-13,39,N1 - Boa
2015-11-14,40,N1 - Boa
2015-11-15,29,N1 - Boa
2015-11-16,18,N1 - Boa
2015-11-17,17,N1 - Boa
2015-11-18,45,N2 - Moderada
2015-11-19,56,N2 - Moderada
2015-11-20,32,N1 - Boa
2015-11-21,30,N1 - Boa
2015-11-22,29,N1 - Boa
2015-11-23,20,N1 - Boa
2015-11-24,24,N1 - Boa
2015-11-25,31,N1 - Boa
2015-11-26,21,N1 - Boa
2015-11-27,19,N1 - Boa
2015-11-28,49,N2 - Moderada
2015-11-29,33,N1 - Boa
2015-11-30,19,N1 - Boa
2015-12-01,14,N1 - Boa
2015-12-02,18,N1 - Boa
2015-12-03,9,N1 - Boa
2015-12-04,14,N1 - Boa
2015-12-05,104,N3 - Ruim
2015-12-06,32,N1 - Boa
2015-12-07,17,N1 - Boa
2015-12-08,17,N1 - Boa
2015-12-09,33,N1 - Boa
2015-12-10,51,N2 - Moderada
2015-12-11,24,N1 - Boa
2015-12-12,40,N1 - Boa
2015-12-13,39,N1 - Boa
2015-12-14,63,N2 - Moderada
