data_dia,AQI,Qualidade_do_Ar
2013-07-07,41,N2 - Moderada
2013-07-08,45,N2 - Moderada
2013-07-09,20,N1 - Boa
2013-07-10,32,N1 - Boa
2013-07-11,32,N1 - Boa
2013-07-12,33,N1 - Boa
2013-07-13,45,N2 - Moderada
2013-07-14,39,N1 - Boa
2013-07-15,25,N1 - Boa
2013-07-16,23,N1 - Boa
2013-07-17,36,N1 - Boa
2013-07-18,48,N2 - Moderada
2013-07-19,42,N2 - Moderada
2013-07-20,38,N1 - Boa
2013-07-21,41,N2 - Moderada
2013-07-22,36,N1 - Boa
2013-07-23,16,N1 - Boa
2013-07-24,16,N1 - Boa
2013-07-25,11,N1 - Boa
2013-07-26,20,N1 - Boa
2013-07-27,21,N1 - Boa
2013-07-28,32,N1 - Boa
2013-07-29,29,N1 - Boa
2013-07-30,41,N2 - Moderada
2013-07-31,69,N2 - Moderada
2013-08-01,68,N2 - Moderada
2013-08-02,73,N2 - Moderada
2013-08-03,72,N2 - Moderada
2013-08-04,76,N2 - Moderada
2013-08-05,38,N1 - Boa
2013-08-06,49,N2 - Moderada
2013-08-07,58,N2 - Moderada
2013-08-08,58,N2 - Moderada
2013-08-09,53,N2 - Moderada
2013-08-10,57,N2 - Moderada
2013-08-11,45,N2 - Moderada
2013-08-12,34,N1 - Boa
2013-08-13,64,N2 - Moderada
2013-08-14,54,N2 - Moderada
2013-08-15,23,N1 - Boa
2013-08-16,26,N1 - Boa
2013-08-17,31,N1 - Boa
2013-08-18,19,N1 - Boa
2013-08-19,21,N1 - Boa
2013-08-20,21,N1 - Boa
2013-08-21,23,N1 - Boa
2013-08-22,36,N1 - Boa
2013-08-23,40,N1 - Boa
2013-08-24,34,N1 - Boa
2013-08-25,43,N2 - Moderada
2013-08-26,37,N1 - Boa
2013-08-27,17,N1 - Boa
2013-08-28,21,N1 - Boa
2013-08-29,26,N1 - Boa
2013-08-30,38,N1 - Boa
2013-08-31,42,N2 - Moderada
2013-09-01,38,N1 - Boa
2013-09-02,49,N2 - Moderada
2013-09-03,59,N2 - Moderada
2013-09-04,26,N1 - Boa
2013-09-05,22,N1 - Boa
2013-09-06,25,N1 - Boa
2013-09-07,23,N1 - Boa
2013-09-08,28,N1 - Boa
2013-09-09,33,N1 - Boa
2013-09-10,37,N1 - Boa
2013-09-11,36,N1 - Boa
2013-09-12,31,N1 - Boa
2013-09-13,38,N1 - Boa
2013-09-14,47,N2 - Moderada
2013-09-15,43,N2 - Moderada
2013-09-16,39,N1 - Boa
2013-09-17,47,N2 - Moderada
2013-09-18,17,N1 - Boa
2013-09-19,19,N1 - Boa
2013-09-20,33,N1 - Boa
2013-09-21,38,N1 - Boa
2013-09-22,41,N2 - Moderada
2013-09-23,26,N1 - Boa
2013-09-24,19,N1 - Boa
2013-09-25,21,N1 - Boa
2013-09-26,23,N1 - Boa
2013-09-27,20,N1 - Boa
2013-09-28,31,N1 - Boa
2013-09-29,26,N1 - Boa
2013-09-30,37,N1 - Boa
2013-10-01,36,N1 - Boa
2013-10-02,36,N1 - Boa
2013-10-03,29,N1 - Boa
2013-10-04,31,N1 - Boa
2013-10-05,24,N1 - Boa
2013-10-06,24,N1 - Boa
2013-10-07,20,N1 - Boa
2013-10-08,17,N1 - Boa
2013-10-09,24,N1 - Boa
2013-10-10,24,N1 - Boa
2013-10-11,25,N1 - Boa
2013-10-12,24,N1 - Boa
2013-10-13,26,N1 - Boa
2013-10-14,37,N1 - Boa
2013-10-15,48,N2 - Moderada
2013-10-16,22,N1 - Boa
2013-10-17,20,N1 - Boa
2013-10-18,23,N1 - Boa
2013-10-19,27,N1 - Boa
2013-10-20,52,N2 - Moderada
2013-10-21,37,N1 - Boa
2013-10-22,37,N1 - Boa
2013-10-23,43,N2 - Moderada
2013-10-24,48,N2 - Moderada
2013-10-25,32,N1 - Boa
2013-10-26,22,N1 - Boa
2013-10-27,24,N1 - Boa
2013-10-28,22,N1 - Boa
2013-10-29,32,N1 - Boa
2013-10-30,38,N1 - Boa
2013-10-31,24,N1 - Boa
2013-11-01,25,N1 - Boa
2013-11-02,30,N1 - Boa
2013-11-03,44,N2 - Moderada
2013-11-04,32,N1 - Boa
2013-11-05,25,N1 - Boa
2013-11-06,14,N1 - Boa
2013-11-07,12,N1 - Boa
2013-11-08,24,N1 - Boa
2013-11-09,34,N1 - Boa
2013-11-10,33,N1 - Boa
2013-11-11,29,N1 - Boa
2013-11-12,39,N1 - Boa
2013-11-13,28,N1 - Boa
2013-11-14,21,N1 - Boa
2013-11-15,33,N1 - Boa
2013-11-16,24,N1 - Boa
2013-11-17,27,N1 - Boa
2013-11-18,26,N1 - Boa
2013-11-19,31,N1 - Boa
2013-11-20,34,N1 - Boa
2013-11-21,33,N1 - Boa
2013-11-22,25,N1 - Boa
2013-11-23,13,N1 - Boa
2013-11-24,13,N1 - Boa
2013-11-25,20,N1 - Boa
2013-11-26,15,N1 - Boa
2013-11-27,24,N1 - Boa
2013-11-28,23,N1 - Boa
2013-11-29,28,N1 - Boa
2013-11-30,22,N1 - Boa
2013-12-01,18,N1 - Boa
2013-12-02,20,N1 - Boa
2013-12-03,24,N1 - Boa
2013-12-04,68,N2 - Moderada
2013-12-05,47,N2 - Moderada
2013-12-06,38,N1 - Boa
2013-12-07,28,N1 - Boa
2013-12-08,28,N1 - Boa
2013-12-09,20,N1 - Boa
2013-12-10,38,N1 - Boa
2013-12-11,14,N1 - Boa
2013-12-12,12,N1 - Boa
2013-12-13,19,N1 - Boa
2013-12-14,20,N1 - Boa
2013-12-15,19,N1 - Boa
2013-12-16,15,N1 - Boa
2013-12-17,14,N1 - Boa
2013-12-18,14,N1 - Boa
2013-12-19,15,N1 - Boa
2013-12-20,15,N1 - Boa
2013-12-21,17,N1 - Boa
2013-12-22,15,N1 - Boa
2013-12-23,15,N1 - Boa
2013-12-24,13,N1 - Boa
2013-12-25,20,N1 - Boa
2013-12-26,21,N1 - Boa
2013-12-27,31,N1 - Boa
2013-12-28,31,N1 - Boa
2013-12-29,24,N1 - Boa
2013-12-30,23,N1 - Boa
2013-12-31,19,N1 - Boa
2014-01-01,24,N1 - Boa
2014-01-02,38,N1 - Boa
2014-01-03,31,N1 - Boa
2014-01-04,27,N1 - Boa
2014-01-05,25,N1 - Boa
2014-01-06,29,N1 - Boa
2014-01-07,33,N1 - Boa
2014-01-08,28,N1 - Boa
2014-01-09,33,N1 - Boa
2014-01-10,43,N2 - Moderada
2014-01-11,32,N1 - Boa
2014-01-12,33,N1 - Boa
2014-01-13,38,N1 - Boa
2014-01-14,28,N1 - Boa
2014-01-15,37,N1 - Boa
2014-01-16,33,N1 - Boa
2014-01-17,27,N1 - Boa
2014-01-18,26,N1 - Boa
2014-01-19,22,N1 - Boa
2014-01-20,36,N1 - Boa
2014-01-21,34,N1 - Boa
2014-01-22,31,N1 - Boa
2014-01-23,32,N1 - Boa
2014-01-24,35,N1 - Boa
2014-01-25,42,N2 - Moderada
2014-01-26,39,N1 - Boa
2014-01-27,34,N1 - Boa
2014-01-28,42,N2 - Moderada
2014-01-29,39,N1 - Boa
2014-01-30,58,N2 - Moderada
2014-01-31,34,N1 - Boa
2014-02-01,66,N2 - Moderada
2014-02-02,63,N2 - Moderada
