data_dia,AQI,Qualidade_do_Ar
2012-09-05,29,N1 - Boa
2012-09-06,46,N2 - Moderada
2012-09-07,69,N2 - Moderada
2012-09-08,44,N2 - Moderada
2012-09-09,56,N2 - Moderada
2012-09-10,46,N2 - Moderada
2012-09-11,54,N2 - Moderada
2012-09-12,47,N2 - Moderada
2012-09-13,31,N1 - Boa
2012-09-14,18,N1 - Boa
2012-09-15,22,N1 - Boa
2012-09-16,22,N1 - Boa
2012-09-17,48,N2 - Moderada
2012-09-18,27,N1 - Boa
2012-09-19,65,N2 - Moderada
2012-09-20,62,N2 - Moderada
2012-09-21,43,N2 - Moderada
2012-09-22,18,N1 - Boa
2012-09-23,27,N1 - Boa
2012-09-24,20,N1 - Boa
2012-09-25,33,N1 - Boa
2012-09-26,13,N1 - Boa
2012-09-27,16,N1 - Boa
2012-09-28,23,N1 - Boa
2012-09-29,23,N1 - Boa
2012-09-30,23,N1 - Boa
2012-10-01,22,N1 - Boa
2012-10-02,27,N1 - Boa
2012-10-03,25,N1 - Boa
2012-10-04,29,N1 - Boa
2012-10-05,35,N1 - Boa
2012-10-06,27,N1 - Boa
2012-10-07,23,N1 - Boa
2012-10-08,24,N1 - Boa
2012-10-09,23,N1 - Boa
2012-10-10,36,N1 - Boa
2012-10-11,46,N2 - Moderada
2012-10-12,22,N1 - Boa
2012-10-13,15,N1 - Boa
2012-10-14,19,N1 - Boa
2012-10-15,19,N1 - Boa
2012-10-16,18,N1 - Boa
2012-10-17,33,N1 - Boa
2012-10-18,46,N2 - Moderada
2012-10-19,25,N1 - Boa
2012-10-20,31,N1 - Boa
2012-10-21,35,N1 - Boa
2012-10-22,28,N1 - Boa
2012-10-23,38,N1 - Boa
2012-10-24,17,N1 - Boa
2012-10-25,1,N1 - Boa
2012-10-26,32,N1 - Boa
2012-10-27,49,N2 - Moderada
2012-10-28,53,N2 - Moderada
2012-10-29,31,N1 - Boa
2012-10-30,66,N2 - Moderada
2012-10-31,93,N3 - Ruim
2012-11-01,27,N1 - Boa
2012-11-02,16,N1 - Boa
2012-11-03,17,N1 - Boa
2012-11-04,17,N1 - Boa
2012-11-05,19,N1 - Boa
2012-11-06,23,N1 - Boa
2012-11-07,21,N1 - Boa
2012-11-08,21,N1 - Boa
2012-11-09,25,N1 - Boa
2012-11-10,17,N1 - Boa
2012-11-11,26,N1 - Boa
2012-11-12,22,N1 - Boa
2012-11-13,38,N1 - Boa
2012-11-14,18,N1 - Boa
2012-11-15,13,N1 - Boa
2012-11-16,25,N1 - Boa
2012-11-17,21,N1 - Boa
2012-11-18,22,N1 - Boa
2012-11-19,17,N1 - Boa
2012-11-20,29,N1 - Boa
2012-11-21,30,N1 - Boa
2012-11-22,16,N1 - Boa
2012-11-23,24,N1 - Boa
2012-11-24,62,N2 - Moderada
2012-11-25,36,N1 - Boa
2012-11-26,20,N1 - Boa
2012-11-27,20,N1 - Boa
2012-11-28,26,N1 - Boa
2012-11-29,21,N1 - Boa
2012-11-30,19,N1 - Boa
2012-12-01,31,N1 - Boa
2012-12-02,53,N2 - Moderada
2012-12-03,30,N1 - Boa
2012-12-04,32,N1 - Boa
2012-12-05,29,N1 - Boa
2012-12-06,31,N1 - Boa
2012-12-07,51,N2 - Moderada
2012-12-08,86,N3 - Ruim
2012-12-09,44,N2 - Moderada
2012-12-10,25,N1 - Boa
2012-12-11,44,N2 - Moderada
2012-12-12,37,N1 - Boa
2012-12-13,31,N1 - Boa
2012-12-14,32,N1 - Boa
2012-12-15,36,N1 - Boa
2012-12-16,55,N2 - Moderada
2012-12-17,29,N1 - Boa
2012-12-18,37,N1 - Boa
2012-12-19,27,N1 - Boa
2012-12-20,31,N1 - Boa
2012-12-21,34,N1 - Boa
2012-12-22,53,N2 - Moderada
2012-12-23,28,N1 - Boa
2012-12-24,30,N1 - Boa
2012-12-25,36,N1 - Boa
2012-12-26,68,N2 - Moderada
2012-12-27,45,N2 - Moderada
2012-12-28,45,N2 - Moderada
2012-12-29,50,N2 - Moderada
2012-12-30,46,N2 - Moderada
2012-12-31,31,N1 - Boa
2013-01-01,27,N1 - Boa
2013-01-02,27,N1 - Boa
2013-01-03,18,N1 - Boa
2013-01-04,14,N1 - Boa
2013-01-05,21,N1 - Boa
2013-01-06,27,N1 - Boa
2013-01-07,34,N1 - Boa
2013-01-08,32,N1 - Boa
2013-01-09,26,N1 - Boa
2013-01-10,20,N1 - Boa
2013-01-11,16,N1 - Boa
2013-01-12,27,N1 - Boa
2013-01-13,35,N1 - Boa
2013-01-14,21,N1 - Boa
2013-01-15,27,N1 - Boa
2013-01-16,24,N1 - Boa
2013-01-17,26,N1 - Boa
2013-01-18,22,N1 - Boa
2013-01-19,28,N1 - Boa
2013-01-20,15,N1 - Boa
2013-01-21,12,N1 - Boa
2013-01-22,15,N1 - Boa
2013-01-23,22,N1 - Boa
2013-01-24,26,N1 - Boa
2013-01-25,33,N1 - Boa
2013-01-26,21,N1 - Boa
2013-01-27,18,N1 - Boa
2013-01-28,9,N1 - Boa
2013-01-29,20,N1 - Boa
2013-01-30,18,N1 - Boa
2013-01-31,18,N1 - Boa
2013-02-01,21,N1 - Boa
2013-02-02,21,N1 - Boa
2013-02-03,23,N1 - Boa
2013-02-04,19,N1 - Boa
2013-02-05,17,N1 - Boa
2013-02-06,17,N1 - Boa
2013-02-07,28,N1 - Boa
2013-02-08,41,N2 - Moderada
2013-02-09,46,N2 - Moderada
2013-02-10,43,N2 - Moderada
2013-02-11,36,N1 - Boa
2013-02-12,43,N2 - Moderada
2013-02-13,44,N2 - Moderada
2013-02-14,41,N2 - Moderada
2013-02-15,45,N2 - Moderada
2013-02-16,50,N2 - Moderada
2013-02-17,43,N2 - Moderada
2013-02-18,53,N2 - Moderada
2013-02-19,39,N1 - Boa
2013-02-20,42,N2 - Moderada
2013-02-21,30,N1 - Boa
2013-02-22,41,N2 - Moderada
2013-02-23,31,N1 - Boa
2013-02-24,31,N1 - Boa
2013-02-25,28,N1 - Boa
2013-02-26,81,N3 - Ruim
2013-02-27,15,N1 - Boa
2013-02-28,15,N1 - Boa
2013-03-01,18,N1 - Boa
2013-03-02,15,N1 - Boa
2013-03-03,20,N1 - Boa
2013-03-04,28,N1 - Boa
2013-03-05,34,N1 - Boa
2013-03-06,24,N1 - Boa
2013-03-07,,
2013-03-08,21,N1 - Boa
2013-03-09,42,N2 - Moderada
2013-03-10,23,N1 - Boa
2013-03-11,22,N1 - Boa
2013-03-12,32,N1 - Boa
2013-03-13,38,N1 - Boa
2013-03-14,22,N1 - Boa
2013-03-15,22,N1 - Boa
2013-03-16,9,N1 - Boa
2013-03-17,,
2013-03-18,,
2013-03-19,10,N1 - Boa
2013-03-20,27,N1 - Boa
2013-03-21,24,N1 - Boa
2013-03-22,52,N2 - Moderada
2013-03-23,29,N1 - Boa
2013-03-24,17,N1 - Boa
2013-03-25,29,N1 - Boa
2013-03-26,30,N1 - Boa
2013-03-27,20,N1 - Boa
2013-03-28,22,N1 - Boa
2013-03-29,13,N1 - Boa
2013-03-30,23,N1 - Boa
2013-03-31,21,N1 - Boa
2013-04-01,36,N1 - Boa
2013-04-02,23,N1 - Boa
2013-04-03,21,N1 - Boa
2013-04-04,23,N1 - Boa
2013-04-05,31,N1 - Boa
2013-04-06,38,N1 - Boa
2013-04-07,26,N1 - Boa
2013-04-08,19,N1 - Boa
2013-04-09,19,N1 - Boa
2013-04-10,25,N1 - Boa
2013-04-11,24,N1 - Boa
2013-04-12,25,N1 - Boa
2013-04-13,42,N2 - Moderada
2013-04-14,13,N1 - Boa
2013-04-15,21,N1 - Boa
2013-04-16,35,N1 - Boa
2013-04-17,27,N1 - Boa
2013-04-18,36,N1 - Boa
2013-04-19,25,N1 - Boa
2013-04-20,17,N1 - Boa
2013-04-21,18,N1 - Boa
2013-04-22,22,N1 - Boa
2013-04-23,18,N1 - Boa
2013-04-24,27,N1 - Boa
2013-04-25,26,N1 - Boa
2013-04-26,34,N1 - Boa
2013-04-27,56,N2 - Moderada
2013-04-28,34,N1 - Boa
2013-04-29,34,N1 - Boa
2013-04-30,63,N2 - Moderada
2013-05-01,64,N2 - Moderada
2013-05-02,43,N2 - Moderada
2013-05-03,33,N1 - Boa
2013-05-04,55,N2 - Moderada
2013-05-05,57,N2 - Moderada
2013-05-06,38,N1 - Boa
2013-05-07,29,N1 - Boa
2013-05-08,29,N1 - Boa
2013-05-09,42,N2 - Moderada
2013-05-10,37,N1 - Boa
2013-05-11,30,N1 - Boa
2013-05-12,35,N1 - Boa
2013-05-13,50,N2 - Moderada
2013-05-14,53,N2 - Moderada
2013-05-15,67,N2 - Moderada
2013-05-16,59,N2 - Moderada
2013-05-17,13,N1 - Boa
2013-05-18,24,N1 - Boa
2013-05-19,21,N1 - Boa
2013-05-20,25,N1 - Boa
2013-05-21,30,N1 - Boa
2013-05-22,22,N1 - Boa
2013-05-23,26,N1 - Boa
2013-05-24,20,N1 - Boa
2013-05-25,20,N1 - Boa
2013-05-26,19,N1 - Boa
2013-05-27,25,N1 - Boa
2013-05-28,38,N1 - Boa
2013-05-29,36,N1 - Boa
2013-05-30,29,N1 - Boa
2013-05-31,23,N1 - Boa
2013-06-01,37,N1 - Boa
2013-06-02,34,N1 - Boa
2013-06-03,25,N1 - Boa
2013-06-04,22,N1 - Boa
2013-06-05,33,N1 - Boa
2013-06-06,60,N2 - Moderada
2013-06-07,30,N1 - Boa
2013-06-08,21,N1 - Boa
2013-06-09,28,N1 - Boa
2013-06-10,35,N1 - Boa
2013-06-11,39,N1 - Boa
2013-06-12,48,N2 - Moderada
2013-06-13,43,N2 - Moderada
2013-06-14,34,N1 - Boa
2013-06-15,18,N1 - Boa
2013-06-16,26,N1 - Boa
2013-06-17,29,N1 - Boa
2013-06-18,13,N1 - Boa
2013-06-19,30,N1 - Boa
2013-06-20,61,N2 - Moderada
2013-06-21,52,N2 - Moderada
2013-06-22,47,N2 - Moderada
2013-06-23,21,N1 - Boa
2013-06-24,23,N1 - Boa
2013-06-25,29,N1 - Boa
2013-06-26,46,N2 - Moderada
2013-06-27,59,N2 - Moderada
2013-06-28,25,N1 - Boa
2013-06-29,34,N1 - Boa
2013-06-30,52,N2 - Moderada
2013-07-01,10,N1 - Boa
2013-07-02,10,N1 - Boa
2013-07-03,25,N1 - Boa
2013-07-04,26,N1 - Boa
2013-07-05,30,N1 - Boa
2013-07-06,47,N2 - Moderada
2013-07-07,73,N2 - Moderada
2013-07-08,50,N2 - Moderada
2013-07-09,18,N1 - Boa
2013-07-10,23,N1 - Boa
2013-07-11,17,N1 - Boa
2013-07-12,37,N1 - Boa
2013-07-13,42,N2 - Moderada
2013-07-14,48,N2 - Moderada
2013-07-15,10,N1 - Boa
2013-07-16,15,N1 - Boa
2013-07-17,30,N1 - Boa
2013-07-18,61,N2 - Moderada
2013-07-19,64,N2 - Moderada
2013-07-20,35,N1 - Boa
2013-07-21,32,N1 - Boa
2013-07-22,39,N1 - Boa
2013-07-23,9,N1 - Boa
2013-07-24,11,N1 - Boa
2013-07-25,10,N1 - Boa
2013-07-26,15,N1 - Boa
2013-07-27,13,N1 - Boa
2013-07-28,33,N1 - Boa
2013-07-29,25,N1 - Boa
2013-07-30,33,N1 - Boa
2013-07-31,33,N1 - Boa
2013-08-01,59,N2 - Moderada
2013-08-02,85,N3 - Ruim
2013-08-03,91,N3 - Ruim
2013-08-04,63,N2 - Moderada
2013-08-05,46,N2 - Moderada
2013-08-06,50,N2 - Moderada
2013-08-07,50,N2 - Moderada
2013-08-08,34,N1 - Boa
2013-08-09,60,N2 - Moderada
2013-08-10,58,N2 - Moderada
2013-08-11,46,N2 - Moderada
2013-08-12,36,N1 - Boa
2013-08-13,58,N2 - Moderada
2013-08-14,37,N1 - Boa
2013-08-15,16,N1 - Boa
2013-08-16,29,N1 - Boa
2013-08-17,26,N1 - Boa
2013-08-18,17,N1 - Boa
2013-08-19,20,N1 - Boa
2013-08-20,20,N1 - Boa
2013-08-21,27,N1 - Boa
2013-08-22,39,N1 - Boa
2013-08-23,60,N2 - Moderada
2013-08-24,48,N2 - Moderada
2013-08-25,54,N2 - Moderada
2013-08-26,48,N2 - Moderada
2013-08-27,20,N1 - Boa
2013-08-28,16,N1 - Boa
2013-08-29,29,N1 - Boa
2013-08-30,29,N1 - Boa
2013-08-31,31,N1 - Boa
2013-09-01,44,N2 - Moderada
2013-09-02,48,N2 - Moderada
2013-09-03,52,N2 - Moderada
2013-09-04,23,N1 - Boa
2013-09-05,22,N1 - Boa
2013-09-06,25,N1 - Boa
2013-09-07,24,N1 - Boa
2013-09-08,28,N1 - Boa
2013-09-09,24,N1 - Boa
2013-09-10,48,N2 - Moderada
2013-09-11,24,N1 - Boa
2013-09-12,26,N1 - Boa
2013-09-13,37,N1 - Boa
2013-09-14,38,N1 - Boa
2013-09-15,32,N1 - Boa
2013-09-16,44,N2 - Moderada
2013-09-17,51,N2 - Moderada
2013-09-18,16,N1 - Boa
2013-09-19,15,N1 - Boa
2013-09-20,36,N1 - Boa
2013-09-21,48,N2 - Moderada
2013-09-22,48,N2 - Moderada
2013-09-23,28,N1 - Boa
2013-09-24,15,N1 - Boa
2013-09-25,15,N1 - Boa
2013-09-26,18,N1 - Boa
2013-09-27,21,N1 - Boa
2013-09-28,19,N1 - Boa
2013-09-29,27,N1 - Boa
2013-09-30,23,N1 - Boa
2013-10-01,31,N1 - Boa
2013-10-02,29,N1 - Boa
2013-10-03,19,N1 - Boa
2013-10-04,27,N1 - Boa
2013-10-05,25,N1 - Boa
2013-10-06,18,N1 - Boa
2013-10-07,14,N1 - Boa
2013-10-08,3,N1 - Boa
2013-10-09,1,N1 - Boa
2013-10-10,16,N1 - Boa
2013-10-11,21,N1 - Boa
2013-10-12,30,N1 - Boa
2013-10-13,28,N1 - Boa
2013-10-14,35,N1 - Boa
2013-10-15,49,N2 - Moderada
2013-10-16,57,N2 - Moderada
2013-10-17,22,N1 - Boa
2013-10-18,22,N1 - Boa
2013-10-19,19,N1 - Boa
2013-10-20,24,N1 - Boa
2013-10-21,43,N2 - Moderada
2013-10-22,35,N1 - Boa
2013-10-23,44,N2 - Moderada
2013-10-24,47,N2 - Moderada
2013-10-25,35,N1 - Boa
2013-10-26,19,N1 - Boa
2013-10-27,28,N1 - Boa
2013-10-28,23,N1 - Boa
2013-10-29,28,N1 - Boa
2013-10-30,36,N1 - Boa
2013-10-31,17,N1 - Boa
2013-11-01,26,N1 - Boa
2013-11-02,27,N1 - Boa
2013-11-03,27,N1 - Boa
2013-11-04,30,N1 - Boa
2013-11-05,22,N1 - Boa
2013-11-06,8,N1 - Boa
2013-11-07,15,N1 - Boa
2013-11-08,22,N1 - Boa
2013-11-09,12,N1 - Boa
2013-11-10,13,N1 - Boa
2013-11-11,22,N1 - Boa
2013-11-12,44,N2 - Moderada
2013-11-13,18,N1 - Boa
2013-11-14,20,N1 - Boa
2013-11-15,29,N1 - Boa
2013-11-16,25,N1 - Boa
2013-11-17,21,N1 - Boa
2013-11-18,17,N1 - Boa
2013-11-19,23,N1 - Boa
2013-11-20,30,N1 - Boa
2013-11-21,33,N1 - Boa
2013-11-22,24,N1 - Boa
2013-11-23,12,N1 - Boa
2013-11-24,11,N1 - Boa
2013-11-25,14,N1 - Boa
2013-11-26,11,N1 - Boa
2013-11-27,16,N1 - Boa
2013-11-28,22,N1 - Boa
2013-11-29,35,N1 - Boa
2013-11-30,20,N1 - Boa
2013-12-01,20,N1 - Boa
2013-12-02,29,N1 - Boa
2013-12-03,19,N1 - Boa
2013-12-04,26,N1 - Boa
2013-12-05,47,N2 - Moderada
2013-12-06,28,N1 - Boa
2013-12-07,26,N1 - Boa
2013-12-08,27,N1 - Boa
2013-12-09,23,N1 - Boa
2013-12-10,35,N1 - Boa
2013-12-11,10,N1 - Boa
2013-12-12,10,N1 - Boa
2013-12-13,17,N1 - Boa
2013-12-14,17,N1 - Boa
2013-12-15,17,N1 - Boa
2013-12-16,12,N1 - Boa
2013-12-17,13,N1 - Boa
2013-12-18,15,N1 - Boa
2013-12-19,10,N1 - Boa
2013-12-20,15,N1 - Boa
2013-12-21,20,N1 - Boa
2013-12-22,17,N1 - Boa
2013-12-23,18,N1 - Boa
2013-12-24,17,N1 - Boa
2013-12-25,14,N1 - Boa
2013-12-26,20,N1 - Boa
2013-12-27,29,N1 - Boa
2013-12-28,39,N1 - Boa
2013-12-29,42,N2 - Moderada
2013-12-30,21,N1 - Boa
2013-12-31,22,N1 - Boa
2014-01-01,32,N1 - Boa
2014-01-02,24,N1 - Boa
2014-01-03,39,N1 - Boa
2014-01-04,32,N1 - Boa
2014-01-05,26,N1 - Boa
2014-01-06,29,N1 - Boa
2014-01-07,23,N1 - Boa
2014-01-08,24,N1 - Boa
2014-01-09,34,N1 - Boa
2014-01-10,25,N1 - Boa
2014-01-11,29,N1 - Boa
2014-01-12,35,N1 - Boa
2014-01-13,40,N1 - Boa
2014-01-14,11,N1 - Boa
2014-01-15,41,N2 - Moderada
2014-01-16,47,N2 - Moderada
2014-01-17,27,N1 - Boa
2014-01-18,20,N1 - Boa
2014-01-19,26,N1 - Boa
2014-01-20,23,N1 - Boa
2014-01-21,30,N1 - Boa
2014-01-22,32,N1 - Boa
2014-01-23,37,N1 - Boa
2014-01-24,34,N1 - Boa
2014-01-25,34,N1 - Boa
2014-01-26,34,N1 - Boa
2014-01-27,33,N1 - Boa
2014-01-28,35,N1 - Boa
2014-01-29,34,N1 - Boa
2014-01-30,36,N1 - Boa
2014-01-31,32,N1 - Boa
2014-02-01,41,N2 - Moderada
2014-02-02,28,N1 - Boa
2014-02-03,30,N1 - Boa
2014-02-04,32,N1 - Boa
2014-02-05,32,N1 - Boa
2014-02-06,31,N1 - Boa
2014-02-07,33,N1 - Boa
2014-02-08,61,N2 - Moderada
2014-02-09,39,N1 - Boa
2014-02-10,50,N2 - Moderada
2014-02-11,19,N1 - Boa
2014-02-12,46,N2 - Moderada
2014-02-13,45,N2 - Moderada
2014-02-14,59,N2 - Moderada
2014-02-15,32,N1 - Boa
2014-02-16,47,N2 - Moderada
2014-02-17,20,N1 - Boa
2014-02-18,17,N1 - Boa
2014-02-19,13,N1 - Boa
2014-02-20,26,N1 - Boa
2014-02-21,34,N1 - Boa
2014-02-22,36,N1 - Boa
2014-02-23,23,N1 - Boa
2014-02-24,25,N1 - Boa
2014-02-25,26,N1 - Boa
2014-02-26,18,N1 - Boa
2014-02-27,37,N1 - Boa
2014-02-28,35,N1 - Boa
2014-03-01,29,N1 - Boa
2014-03-02,29,N1 - Boa
2014-03-03,31,N1 - Boa
2014-03-04,19,N1 - Boa
2014-03-05,16,N1 - Boa
2014-03-06,31,N1 - Boa
2014-03-07,26,N1 - Boa
2014-03-08,20,N1 - Boa
2014-03-09,23,N1 - Boa
2014-03-10,32,N1 - Boa
2014-03-11,18,N1 - Boa
2014-03-12,22,N1 - Boa
2014-03-13,13,N1 - Boa
2014-03-14,,
2014-03-15,,
2014-03-16,,
2014-03-17,,
2014-03-18,,
2014-03-19,,
2014-03-20,,
2014-03-21,,
2014-03-22,,
2014-03-23,,
2014-03-24,,
2014-03-25,6,N1 - Boa
