data_dia,nome_estacao,codnum,ano,mes,dia,chuva,temp,ur,co,no,no2,nox,so2,o3,pm10,pm2_5,lat,lon,AQI,Qualidade_do_Ar
2012-02-18,ESTAÇÃO CAMPO GRANDE,4,2012,2,18,0.0,30.007,58.618,0.287,12.317,30.618,42.937,3.13,55.013,25.667,,-22.886,-43.557,66,N2 - Moderada
2012-02-19,ESTAÇÃO CAMPO GRANDE,4,2012,2,19,0.0,30.482,60.005,0.348,10.988,28.249,39.233,1.096,28.637,23.5,,-22.886,-43.557,32,N1 - Boa
2012-02-20,ESTAÇÃO CAMPO GRANDE,4,2012,2,20,0.0,30.968,57.792,0.357,10.989,33.009,44.002,1.662,40.619,30.062,,-22.886,-43.557,37,N1 - Boa
2012-02-21,ESTAÇÃO CAMPO GRANDE,4,2012,2,21,0.0,30.461,54.132,0.285,10.001,27.598,37.6,1.353,45.483,26.625,,-22.886,-43.557,32,N1 - Boa
2012-02-22,ESTAÇÃO CAMPO GRANDE,4,2012,2,22,0.0,31.549,52.225,0.326,29.107,34.902,64.027,1.929,59.362,26.021,,-22.886,-43.557,21,N1 - Boa
2012-02-23,ESTAÇÃO CAMPO GRANDE,4,2012,2,23,0.0,31.434,53.63,0.268,19.001,29.096,48.092,3.128,99.212,21.062,,-22.886,-43.557,51,N2 - Moderada
2012-02-24,ESTAÇÃO CAMPO GRANDE,4,2012,2,24,0.0,30.137,63.542,0.373,14.161,38.889,53.463,3.119,72.846,37.354,,-22.886,-43.557,79,N2 - Moderada
2012-02-25,ESTAÇÃO CAMPO GRANDE,4,2012,2,25,0.0,30.448,66.666,0.404,14.57,37.863,52.448,1.279,80.742,37.583,,-22.886,-43.557,103,N3 - Ruim
2012-02-26,ESTAÇÃO CAMPO GRANDE,4,2012,2,26,0.0,32.426,53.934,0.451,11.881,38.857,50.625,0.332,43.048,38.708,,-22.886,-43.557,39,N1 - Boa
2012-02-27,ESTAÇÃO CAMPO GRANDE,4,2012,2,27,0.0,30.976,62.042,0.364,7.705,37.853,45.552,0.226,74.12,39.583,,-22.886,-43.557,68,N2 - Moderada
2012-02-28,ESTAÇÃO CAMPO GRANDE,4,2012,2,28,0.0,30.604,66.821,0.374,25.646,38.731,66.328,1.425,97.844,47.625,,-22.886,-43.557,189,N4 - Muito Ruim
2012-02-29,ESTAÇÃO CAMPO GRANDE,4,2012,2,29,0.0,30.989,58.874,0.462,41.819,56.909,100.796,0.492,44.194,55.167,,-22.886,-43.557,53,N2 - Moderada
2012-03-01,ESTAÇÃO CAMPO GRANDE,4,2012,3,1,0.0,32.725,48.694,0.472,25.41,56.133,81.546,0.12,67.508,52.917,,-22.886,-43.557,105,N3 - Ruim
2012-03-02,ESTAÇÃO CAMPO GRANDE,4,2012,3,2,0.0,31.529,53.905,0.563,26.774,62.446,89.283,0.115,76.522,71.875,,-22.886,-43.557,112,N3 - Ruim
2012-03-03,ESTAÇÃO CAMPO GRANDE,4,2012,3,3,0.0,29.18,73.464,0.316,1.536,22.743,24.276,0.0,85.659,28.375,,-22.886,-43.557,83,N3 - Ruim
2012-03-04,ESTAÇÃO CAMPO GRANDE,4,2012,3,4,0.0,26.891,85.047,0.307,4.747,21.962,26.704,0.0,36.288,10.812,,-22.886,-43.557,19,N1 - Boa
2012-03-05,ESTAÇÃO CAMPO GRANDE,4,2012,3,5,0.0,29.022,68.296,0.345,24.408,31.608,56.0,0.332,50.579,24.292,,-22.886,-43.557,65,N2 - Moderada
2012-03-06,ESTAÇÃO CAMPO GRANDE,4,2012,3,6,0.0,29.289,64.455,0.308,28.617,35.913,64.404,0.674,40.917,26.792,,-22.886,-43.557,44,N2 - Moderada
2012-03-07,ESTAÇÃO CAMPO GRANDE,4,2012,3,7,0.0,28.556,64.809,0.256,24.779,32.81,57.597,0.842,38.398,22.958,,-22.886,-43.557,29,N1 - Boa
2012-03-08,ESTAÇÃO CAMPO GRANDE,4,2012,3,8,0.0,28.811,63.655,0.305,32.24,36.025,68.252,1.579,50.356,26.812,,-22.886,-43.557,50,N2 - Moderada
2012-03-09,ESTAÇÃO CAMPO GRANDE,4,2012,3,9,0.0,29.135,64.403,0.408,37.889,49.511,87.337,4.187,57.645,43.25,,-22.886,-43.557,103,N3 - Ruim
