data_dia,target,no_t,no2_t,nox_t,o3_t,nox_x_o3_t,no_lag1,no_lag7,o3_lag1,o3_lag7,pm10_lag1,pm2_5_lag1,so2_lag12,no_ma60_s1,nox_ma60_s1,no2_ma30_s1,o3_ma150_s1,so2_ma150_s21,pm10_ma30_s1,pm2_5_ma7_s1
2018-12-15,146.0,1.854678793993494,5.487099801175807,3.294154253730481,10.591878247885258,34.891280785266574,1.8244739301617183,1.8002031372322855,10.347925155152785,6.844856433132587,3.5763686249447324,5.55660689306771,1.008247750322402,1.8134295387384376,2.947026363595183,4.41836307865013,8.048883632863841,2.242360528405661,3.143141063236407,4.080077818772441
2018-12-16,242.0,1.5028337812416923,4.544876325725359,2.938113060007141,9.555895695639128,28.076301943423346,1.854678793993494,2.0125291744774816,10.591878247885258,6.890486512275541,3.6427377956402185,5.392296034263617,1.8895798988324248,1.8127128156875927,2.953624725243931,4.474362705963377,8.06718784739322,2.2297756529873163,3.158556278909887,4.442662441066921
2018-12-17,287.0,1.759553748348848,4.821763065640328,3.084888154688708,9.740935462279625,30.049696423173586,1.5028337812416923,1.8447658704182923,9.555895695639128,8.29154418417006,3.464012544828148,4.35530788494455,2.2897451083865485,1.8053593837221167,2.951336891930958,4.505169284620757,8.082759129699836,2.2248026735606885,3.171951750734431,4.598445030870144
2018-12-18,277.0,1.772781142890426,4.920068315119687,3.116563698477571,10.056936297739572,31.343082583436573,1.759553748348848,1.9704714728806076,9.740935462279625,8.862454278045215,3.5315694600465948,4.491193465284514,1.3381354358640756,1.7991864028280025,2.9478645877215546,4.543488562205141,8.101664940511021,2.2163803858358695,3.182505968231292,4.807913292101146
2018-12-19,225.0,1.481572736607084,3.976812915131589,2.74777980914538,10.557131793347388,29.008673584246708,1.772781142890426,1.977494899746192,10.056936297739572,9.53783996924566,3.5634695178963223,4.2421476559415785,1.5902430828655831,1.7986230191222183,2.95018019599221,4.581691935025181,8.108946118670278,2.2095927821427637,3.1961160286252395,4.852109554578484
2018-12-20,250.0,1.7480931783452496,4.699869497453936,3.0466424666961545,8.54516935732629,26.034075849140965,1.481572736607084,1.9988347318056732,10.557131793347388,10.8669071896258,3.348421675978337,4.284671411079915,1.6417698829317604,1.7986645841519093,2.956165474363866,4.582426564808793,8.115632016615715,2.1917119806915135,3.2153497988277224,4.797846277992787
2018-12-21,237.0,1.7523013859937433,5.089166402999827,3.158991360515249,8.208713169141934,25.93125398226712,1.7480931783452496,1.8244739301617183,8.54516935732629,10.347925155152785,3.587724007714641,5.077193382722155,1.7396127187807786,1.7972296545993716,2.958815225414919,4.5993457179594115,8.12377453231056,2.1919844539019104,3.2484369922139313,4.77134524675772
2018-12-22,185.0,1.3871878762778205,4.9086624019943415,3.0356467967598286,11.108799903339763,33.72239284241925,1.7523013859937433,1.854678793993494,8.208713169141934,10.591878247885258,3.829129462528423,4.935313120499916,1.9763568964178728,1.7962947518901962,2.9637990043974987,4.605122661354014,8.132697639656724,2.1927683445798096,3.2717745898911854,4.6825889935337495
2018-12-23,157.0,1.2119523781933563,4.165393068278049,2.75646107180386,10.008041659629146,27.586777239759037,1.3871878762778205,1.5028337812416923,11.108799903339763,9.555895695639128,3.675403277233453,4.6754421717163135,2.755760735483724,1.7881908658869377,2.9625371805976104,4.605287832654622,8.15136828536236,2.1786114915222363,3.277875273506269,4.580181298884135
2018-12-24,119.0,1.4494784269859882,4.011238669425424,2.7507122589335378,8.442479202731112,23.222831038743912,1.2119523781933563,1.759553748348848,10.008041659629146,9.740935462279625,3.483087547046141,4.725920555417147,2.528845489262016,1.7810941949261272,2.962020434429858,4.590685150739921,8.16752543911179,2.1631203211694974,3.2853260285124986,4.633125966094505
